Feature,Importance
categorical__Manufacturing Site_ABBVIE (Abbott) Japan Co. Ltd.,0.0
categorical__Manufacturing Site_ABBVIE (Abbott) St. P'burg USA,0.0
categorical__Manufacturing Site_ABBVIE Labs North Chicago US,0.0
"categorical__Manufacturing Site_Access BIO, L.C.",0.0
categorical__Country_Angola,0.0
"categorical__Manufacturing Site_BMS Evansville, US",0.0
categorical__Manufacturing Site_BUNDI INTERNATIONAL DIAGNOSTICS LTD,0.0
categorical__Manufacturing Site_Boehringer Ingelheim Roxane US,0.0
categorical__Vendor_SETEMA LIMITED PLC,0.0
categorical__Country_Belize,0.0
categorical__Vendor_RANBAXY Fine Chemicals LTD.,0.0
categorical__Vendor_LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),0.0
categorical__Vendor_IMRES B.V.,0.0
categorical__Vendor_INTERNATIONAL HEALTHCARE DISTRIBUTORS,0.0
categorical__Vendor_INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,0.0
categorical__Vendor_INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,0.0
categorical__Vendor_JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),0.0
categorical__Vendor_KAS MEDICS LIMITED,0.0
categorical__Vendor_MEDMIRA EAST AFRICA LTD.,0.0
"categorical__Vendor_PUETRO RICO PHARMACEUTICAL, INC.",0.0
categorical__Vendor_MICRO LABS LIMITED,0.0
categorical__Vendor_MISSIONPHARMA A/S,0.0
"categorical__Vendor_MSD LATIN AMERICA SERVICES, S. DE R.L. DE C.V.",0.0
categorical__Vendor_NOVARTIS PHARMA SERVICES AG,0.0
categorical__Vendor_OMEGA DIAGNOSTICS LTD,0.0
categorical__Vendor_PLURIPHARM S.A.,0.0
"categorical__Vendor_RAININ INSTRUMENT, LLC.",0.0
